model,aggregation_type,simulation_name,failures,detected,undetected,undetectable,ttm,accuracy,fpr,precision,recall,f3,threshold,FailureIDs,detected_failure_ids,undetected_failure_ids,undetectable_failure_ids
dave2-p10-track1-mcd_5_S32,max,xai-track1-snow-40,2,2,0,0,3,100,0,40,100,87,0.0025573495938680567,"[1601, 3390]","[1601, 3390]",[],[]
dave2-p10-track1-mcd_5_S32,max,xai-track1-snow-50,3,3,0,0,1,100,0,50,100,91,0.0025573495938680567,"[2115, 2254, 2632]","[2115, 2254, 2632]",[],[]
dave2-p10-track1-mcd_5_S32,max,xai-track1-snow-50,3,3,0,0,2,100,0,50,100,91,0.0025573495938680567,"[2115, 2254, 2632]","[2115, 2254, 2632]",[],[]
dave2-p10-track1-mcd_5_S32,max,xai-track1-snow-50,3,3,0,0,3,100,0,50,100,91,0.0025573495938680567,"[2115, 2254, 2632]","[2115, 2254, 2632]",[],[]
dave2-p10-track1-mcd_5_S32,max,xai-track1-snow-60,2,2,0,0,1,100,0,40,100,87,0.0025573495938680567,"[2362, 2750]","[2362, 2750]",[],[]
dave2-p10-track1-mcd_5_S32,max,xai-track1-snow-60,2,2,0,0,2,100,0,40,100,87,0.0025573495938680567,"[2362, 2750]","[2362, 2750]",[],[]
dave2-p10-track1-mcd_5_S32,max,xai-track1-snow-60,2,2,0,0,3,100,0,40,100,87,0.0025573495938680567,"[2362, 2750]","[2362, 2750]",[],[]
dave2-p10-track1-mcd_5_S32,max,xai-track1-snow-70,2,2,0,0,1,100,0,40,100,87,0.0025573495938680567,"[2382, 2756]","[2382, 2756]",[],[]
dave2-p10-track1-mcd_5_S32,max,xai-track1-snow-70,2,2,0,0,2,100,0,40,100,87,0.0025573495938680567,"[2382, 2756]","[2382, 2756]",[],[]
dave2-p10-track1-mcd_5_S32,max,xai-track1-snow-70,2,2,0,0,3,100,0,40,100,87,0.0025573495938680567,"[2382, 2756]","[2382, 2756]",[],[]
dave2-p10-track1-mcd_5_S32,max,xai-track1-snow-90,2,2,0,0,1,100,0,40,100,87,0.0025573495938680567,"[2484, 2855]","[2484, 2855]",[],[]
dave2-p10-track1-mcd_5_S32,max,xai-track1-snow-90,2,2,0,0,2,100,0,40,100,87,0.0025573495938680567,"[2484, 2855]","[2484, 2855]",[],[]
dave2-p10-track1-mcd_5_S32,max,xai-track1-snow-90,2,2,0,0,3,100,0,40,100,87,0.0025573495938680567,"[2484, 2855]","[2484, 2855]",[],[]
dave2-p10-track1-mcd_5_S32,max,xai-track1-snow-100,2,2,0,0,1,100,0,40,100,87,0.0025573495938680567,"[2336, 2801]","[2336, 2801]",[],[]
dave2-p10-track1-mcd_5_S32,max,xai-track1-snow-100,2,1,1,0,2,99,0,25,50,45,0.0025573495938680567,"[2336, 2801]",[2801],[2336],[]
dave2-p10-track1-mcd_5_S32,max,xai-track1-snow-100,2,1,1,0,3,99,0,25,50,45,0.0025573495938680567,"[2336, 2801]",[2801],[2336],[]
dave2-p10-track1-mcd_5_S32,max,udacity_add_weights_regularisation_mutated0_MP_l1_3_1,5,5,0,0,1,100,0,62,100,94,0.0025573495938680567,"[2360, 2600, 3420, 4644, 5453]","[2360, 2600, 3420, 4644, 5453]",[],[]
dave2-p10-track1-mcd_5_S32,max,udacity_add_weights_regularisation_mutated0_MP_l1_3_1,5,5,0,0,2,100,0,62,100,94,0.0025573495938680567,"[2360, 2600, 3420, 4644, 5453]","[2360, 2600, 3420, 4644, 5453]",[],[]
dave2-p10-track1-mcd_5_S32,max,udacity_add_weights_regularisation_mutated0_MP_l1_3_1,5,5,0,0,3,100,0,62,100,94,0.0025573495938680567,"[2360, 2600, 3420, 4644, 5453]","[2360, 2600, 3420, 4644, 5453]",[],[]
dave2-p10-track1-mcd_5_S32,max,udacity_add_weights_regularisation_mutated0_MP_l1_l2_3_2,21,21,0,1,1,100,0,88,100,99,0.0025573495938680567,"[351, 694, 956, 1185, 1717, 1931, 2216, 2250, 2270, 2646, 3007, 3234, 3696, 4047, 4050, 4275, 4300, 4321, 4900, 5203, 5640, 6104]","[351, 694, 956, 1185, 1717, 1931, 2216, 2250, 2270, 2646, 3007, 3234, 3696, 4047, 4275, 4300, 4321, 4900, 5203, 5640, 6104]",[],[4050]
dave2-p10-track1-mcd_5_S32,max,udacity_add_weights_regularisation_mutated0_MP_l1_l2_3_2,21,21,0,1,2,100,0,88,100,99,0.0025573495938680567,"[351, 694, 956, 1185, 1717, 1931, 2216, 2250, 2270, 2646, 3007, 3234, 3696, 4047, 4050, 4275, 4300, 4321, 4900, 5203, 5640, 6104]","[351, 694, 956, 1185, 1717, 1931, 2216, 2250, 2270, 2646, 3007, 3234, 3696, 4047, 4275, 4300, 4321, 4900, 5203, 5640, 6104]",[],[4050]
dave2-p10-track1-mcd_5_S32,max,udacity_add_weights_regularisation_mutated0_MP_l1_l2_3_2,21,21,0,1,3,100,0,88,100,99,0.0025573495938680567,"[351, 694, 956, 1185, 1717, 1931, 2216, 2250, 2270, 2646, 3007, 3234, 3696, 4047, 4050, 4275, 4300, 4321, 4900, 5203, 5640, 6104]","[351, 694, 956, 1185, 1717, 1931, 2216, 2250, 2270, 2646, 3007, 3234, 3696, 4047, 4275, 4300, 4321, 4900, 5203, 5640, 6104]",[],[4050]
dave2-p10-track1-mcd_5_S32,max,udacity_add_weights_regularisation_mutated0_MP_l2_3_0,17,16,1,2,1,99,0,84,94,93,0.0025573495938680567,"[370, 695, 697, 893, 1180, 1483, 1763, 1995, 2297, 2331, 2354, 2935, 3172, 3470, 3905, 5036, 5042, 5255, 5942]","[695, 893, 1180, 1483, 1763, 1995, 2297, 2331, 2354, 2935, 3172, 3470, 3905, 5036, 5255, 5942]",[370],"[697, 5042]"
dave2-p10-track1-mcd_5_S32,max,udacity_add_weights_regularisation_mutated0_MP_l2_3_0,17,16,1,2,2,99,0,84,94,93,0.0025573495938680567,"[370, 695, 697, 893, 1180, 1483, 1763, 1995, 2297, 2331, 2354, 2935, 3172, 3470, 3905, 5036, 5042, 5255, 5942]","[695, 893, 1180, 1483, 1763, 1995, 2297, 2331, 2354, 2935, 3172, 3470, 3905, 5036, 5255, 5942]",[370],"[697, 5042]"
dave2-p10-track1-mcd_5_S32,max,udacity_add_weights_regularisation_mutated0_MP_l2_3_0,17,16,1,2,3,99,0,84,94,93,0.0025573495938680567,"[370, 695, 697, 893, 1180, 1483, 1763, 1995, 2297, 2331, 2354, 2935, 3172, 3470, 3905, 5036, 5042, 5255, 5942]","[695, 893, 1180, 1483, 1763, 1995, 2297, 2331, 2354, 2935, 3172, 3470, 3905, 5036, 5255, 5942]",[370],"[697, 5042]"
dave2-p10-track1-mcd_5_S32,max,udacity_change_activation_function_mutated0_MP_exponential_4_0,13,12,1,2,1,99,0,80,92,91,0.0025573495938680567,"[407, 771, 780, 1056, 1291, 1655, 1685, 2094, 2430, 3312, 4088, 4295, 4757, 5243, 5257]","[771, 1056, 1291, 1655, 1685, 2094, 2430, 3312, 4088, 4295, 4757, 5243]",[407],"[780, 5257]"
dave2-p10-track1-mcd_5_S32,max,udacity_change_activation_function_mutated0_MP_exponential_4_0,14,14,0,1,2,100,0,82,100,98,0.0025573495938680567,"[407, 771, 780, 1056, 1291, 1655, 1685, 2094, 2430, 3312, 4088, 4295, 4757, 5243, 5257]","[407, 771, 1056, 1291, 1655, 1685, 2094, 2430, 3312, 4088, 4295, 4757, 5243, 5257]",[],[780]
dave2-p10-track1-mcd_5_S32,max,udacity_change_activation_function_mutated0_MP_exponential_4_0,14,14,0,1,3,100,0,82,100,98,0.0025573495938680567,"[407, 771, 780, 1056, 1291, 1655, 1685, 2094, 2430, 3312, 4088, 4295, 4757, 5243, 5257]","[407, 771, 1056, 1291, 1655, 1685, 2094, 2430, 3312, 4088, 4295, 4757, 5243, 5257]",[],[780]
dave2-p10-track1-mcd_5_S32,max,udacity_change_activation_function_mutated0_MP_hard_sigmoid_4_0,7,7,0,1,1,100,0,70,100,96,0.0025573495938680567,"[445, 919, 1619, 2607, 3164, 4339, 4382, 4385]","[445, 919, 1619, 2607, 3164, 4339, 4382]",[],[4385]
dave2-p10-track1-mcd_5_S32,max,udacity_change_activation_function_mutated0_MP_hard_sigmoid_4_0,7,7,0,1,2,100,0,70,100,96,0.0025573495938680567,"[445, 919, 1619, 2607, 3164, 4339, 4382, 4385]","[445, 919, 1619, 2607, 3164, 4339, 4382]",[],[4385]
dave2-p10-track1-mcd_5_S32,max,udacity_change_activation_function_mutated0_MP_hard_sigmoid_4_0,7,6,1,1,3,99,0,67,86,83,0.0025573495938680567,"[445, 919, 1619, 2607, 3164, 4339, 4382, 4385]","[919, 1619, 2607, 3164, 4339, 4382]",[445],[4385]
dave2-p10-track1-mcd_5_S32,max,udacity_change_activation_function_mutated0_MP_relu_4_2,16,15,1,2,1,99,0,83,94,93,0.0025573495938680567,"[314, 593, 829, 1061, 1283, 1493, 1503, 2589, 2824, 2826, 3158, 3386, 3900, 4112, 4251, 4471, 4868, 5017]","[593, 829, 1061, 1283, 1493, 2589, 2824, 3158, 3386, 3900, 4112, 4251, 4471, 4868, 5017]",[314],"[1503, 2826]"
dave2-p10-track1-mcd_5_S32,max,udacity_change_activation_function_mutated0_MP_relu_4_2,16,16,0,2,2,100,0,84,100,98,0.0025573495938680567,"[314, 593, 829, 1061, 1283, 1493, 1503, 2589, 2824, 2826, 3158, 3386, 3900, 4112, 4251, 4471, 4868, 5017]","[314, 593, 829, 1061, 1283, 1493, 2589, 2824, 3158, 3386, 3900, 4112, 4251, 4471, 4868, 5017]",[],"[1503, 2826]"
dave2-p10-track1-mcd_5_S32,max,udacity_change_activation_function_mutated0_MP_relu_4_2,16,16,0,2,3,100,0,84,100,98,0.0025573495938680567,"[314, 593, 829, 1061, 1283, 1493, 1503, 2589, 2824, 2826, 3158, 3386, 3900, 4112, 4251, 4471, 4868, 5017]","[314, 593, 829, 1061, 1283, 1493, 2589, 2824, 3158, 3386, 3900, 4112, 4251, 4471, 4868, 5017]",[],"[1503, 2826]"
dave2-p10-track1-mcd_5_S32,max,udacity_change_activation_function_mutated0_MP_selu_4_0,7,7,0,0,1,100,0,70,100,96,0.0025573495938680567,"[733, 1013, 1449, 1764, 3841, 4350, 4545]","[733, 1013, 1449, 1764, 3841, 4350, 4545]",[],[]
dave2-p10-track1-mcd_5_S32,max,udacity_change_activation_function_mutated0_MP_selu_4_0,7,7,0,0,2,100,0,70,100,96,0.0025573495938680567,"[733, 1013, 1449, 1764, 3841, 4350, 4545]","[733, 1013, 1449, 1764, 3841, 4350, 4545]",[],[]
dave2-p10-track1-mcd_5_S32,max,udacity_change_activation_function_mutated0_MP_selu_4_0,7,7,0,0,3,100,0,70,100,96,0.0025573495938680567,"[733, 1013, 1449, 1764, 3841, 4350, 4545]","[733, 1013, 1449, 1764, 3841, 4350, 4545]",[],[]
